date,symbol,open,high,low,close,adj_close,volume,daily_return
2025-11-27,BTC-USD,90517.7656,91897.5781,90089.5156,91285.375,91285.375,57040622845,0.008474
2025-11-28,BTC-USD,91285.3828,92969.0859,90257.1172,90919.2656,90919.2656,60895830289,-0.004011
2025-11-29,BTC-USD,90918.7422,91187.6172,90260.1875,90851.7578,90851.7578,37921773455,-0.000743
2025-11-30,BTC-USD,90838.2109,91965.0469,90394.3125,90394.3125,90394.3125,38497902869,-0.005035
2025-12-01,BTC-USD,90389.1094,90398.1562,83862.25,86321.5703,86321.5703,87962894424,-0.045055
2025-12-02,BTC-USD,86322.5391,92316.6328,86202.1953,91350.2031,91350.2031,78546798211,0.058255
2025-12-03,BTC-USD,91345.0938,94060.7734,91056.3906,93527.8047,93527.8047,77650204986,0.023838
2025-12-04,BTC-USD,93454.2578,94038.2422,90976.1016,92141.625,92141.625,64538402681,-0.014821
2025-12-05,BTC-USD,92133.6484,92702.6406,88152.1406,89387.7578,89387.7578,63256398633,-0.029887
2025-12-06,BTC-USD,89389.3594,90267.4609,88951.6641,89272.375,89272.375,37994042405,-0.001291
2025-12-07,BTC-USD,89277.8125,91740.8438,87799.5625,90405.6406,90405.6406,47394898960,0.012694
2025-12-08,BTC-USD,90424.5859,92267.1172,89644.8906,90640.2031,90640.2031,57394099056,0.002595
2025-12-09,BTC-USD,90639.7031,94601.5703,89586.9766,92691.7109,92691.7109,66861721440,0.022634
2025-12-10,BTC-USD,92695.2344,94477.1562,91640.1328,92020.9453,92020.9453,65420694513,-0.007237
2025-12-11,BTC-USD,92011.3047,93554.2656,89335.2969,92511.3359,92511.3359,64532834621,0.005329
2025-12-12,BTC-USD,92513.6641,92747.9297,89532.6016,90270.4141,90270.4141,80275884583,-0.024223
2025-12-13,BTC-USD,90257.7969,90647.5703,89800.9922,90298.7109,90298.7109,64237748110,0.000313
2025-12-14,BTC-USD,90296.4375,90498.1094,87634.9375,88175.1797,88175.1797,50465972205,-0.023517
2025-12-15,BTC-USD,88171.0781,89983.9219,85304.0781,86419.7812,86419.7812,45559514323,-0.019908
2025-12-16,BTC-USD,86424.4062,88170.0938,85381.6875,87843.9844,87843.9844,41262178223,0.01648
2025-12-17,BTC-USD,87847.6172,90264.5703,85316.2656,86143.7578,86143.7578,44243392914,-0.019355
2025-12-18,BTC-USD,86144.3672,89412.6641,84436.3125,85462.5078,85462.5078,52667115348,-0.007908
2025-12-19,BTC-USD,85476.1328,89339.1172,85107.6641,88103.3828,88103.3828,46733310561,0.030901
2025-12-20,BTC-USD,88101.6719,88497.2031,87924.875,88344.0,88344.0,14688196659,0.002731
2025-12-21,BTC-USD,88344.7031,89027.9531,87613.2031,88621.75,88621.75,19845522660,0.003144
2025-12-22,BTC-USD,88621.3984,90501.9297,87908.0703,88490.0156,88490.0156,38047472118,-0.001486
2025-12-23,BTC-USD,88490.0312,88898.3828,86606.9766,87414.0,87414.0,43683011533,-0.01216
2025-12-24,BTC-USD,87404.3203,87956.8828,86411.7969,87611.9609,87611.9609,25550297986,0.002265
2025-12-25,BTC-USD,87608.3203,88501.7891,86949.2578,87234.7422,87234.7422,19953216347,-0.004306
2025-12-26,BTC-USD,87235.5078,89459.4297,86628.1406,87301.4297,87301.4297,42455674908,0.000764
2025-12-27,BTC-USD,87301.4297,87874.7812,87182.9766,87802.1562,87802.1562,13741199310,0.005736
2025-12-28,BTC-USD,87799.3438,87986.8906,87394.9531,87835.8359,87835.8359,15156557929,0.000384
2025-12-29,BTC-USD,87835.7891,90299.1562,86717.9141,87138.1406,87138.1406,48411625849,-0.007943
2025-12-30,BTC-USD,87134.3516,89297.9375,86735.5469,88430.1328,88430.1328,35586356225,0.014827
2025-12-31,BTC-USD,88429.5859,89080.2891,87130.5625,87508.8281,87508.8281,33830210616,-0.010418
2026-01-01,BTC-USD,87508.0469,88803.2266,87399.4062,88731.9844,88731.9844,18849043990,0.013978
2026-01-02,BTC-USD,88733.0625,90884.4609,88298.6172,89944.6953,89944.6953,46398906171,0.013667
2026-01-03,BTC-USD,89945.0547,90679.5703,89328.0703,90603.1875,90603.1875,20774828592,0.007321
2026-01-04,BTC-USD,90603.0,91712.5859,90595.1016,91413.4922,91413.4922,26770491368,0.008943
2026-01-05,BTC-USD,91414.625,94762.0703,91414.625,93882.5547,93882.5547,53376407252,0.02701
2026-01-06,BTC-USD,93876.9453,94395.2969,91286.5469,93729.0312,93729.0312,52430605257,-0.001635
2026-01-07,BTC-USD,93727.4688,93738.7891,90601.8047,91308.0547,91308.0547,43461295053,-0.02583
2026-01-08,BTC-USD,91309.6406,91485.8516,89233.875,91027.125,91027.125,42386697030,-0.003077
2026-01-09,BTC-USD,91026.2734,91910.6719,89625.3828,90513.1016,90513.1016,38305906684,-0.005647
2026-01-10,BTC-USD,90510.1016,90713.0312,90283.3984,90386.6484,90386.6484,12385895282,-0.001397
2026-01-11,BTC-USD,90385.3594,91155.2266,90212.0234,90827.4609,90827.4609,17165568977,0.004877
2026-01-12,BTC-USD,90825.8594,92395.5234,90055.0234,91192.9922,91192.9922,41346275358,0.004024
2026-01-13,BTC-USD,91185.3359,96011.625,90941.9297,95321.7812,95321.7812,54980674354,0.045275
2026-01-14,BTC-USD,95322.9062,97860.6016,94583.0469,96929.3281,96929.3281,60592490863,0.016864
2026-01-15,BTC-USD,96931.2891,97150.1719,95103.2422,95551.1875,95551.1875,53086363027,-0.014218
2026-01-16,BTC-USD,95554.1016,95801.8906,94259.2734,95525.1172,95525.1172,33248170537,-0.000273
2026-01-17,BTC-USD,95525.1562,95598.4766,95005.6172,95099.9219,95099.9219,16021715122,-0.004451
2026-01-18,BTC-USD,95101.1797,95491.5078,93588.8672,93634.4297,93634.4297,20809781232,-0.01541
2026-01-19,BTC-USD,93655.6719,93660.8281,92089.25,92553.5938,92553.5938,39195241508,-0.011543
2026-01-20,BTC-USD,92553.6016,92798.4297,87814.9297,88310.9062,88310.9062,53072968031,-0.04584
2026-01-21,BTC-USD,88326.5078,90430.4062,87231.5703,89376.9609,89376.9609,56330422434,0.012072
2026-01-22,BTC-USD,89378.5234,90258.9609,88438.4453,89462.4531,89462.4531,35549685694,0.000957
2026-01-23,BTC-USD,89462.0469,91100.25,88486.3594,89503.875,89503.875,38997586037,0.000463
2026-01-24,BTC-USD,89506.1484,89811.6094,89044.2891,89110.7344,89110.7344,14558687712,-0.004392
2026-01-25,BTC-USD,89104.7656,89193.1484,86003.7109,86572.2188,86572.2188,36124986722,-0.028487
2026-01-26,BTC-USD,86566.5234,88743.0703,86429.2891,88267.1406,88267.1406,45329286974,0.019578
2026-01-27,BTC-USD,88257.4766,89427.125,87228.9219,89102.5703,89102.5703,38744942267,0.009465
2026-01-28,BTC-USD,89104.0469,90439.2891,88721.4609,89184.5703,89184.5703,39807419296,0.00092
2026-01-29,BTC-USD,89169.8516,89200.7812,83250.6016,84561.5859,84561.5859,64653083162,-0.051836
2026-01-30,BTC-USD,84562.7266,84602.1641,81071.4766,84128.6562,84128.6562,72083816087,-0.00512
2026-01-31,BTC-USD,84126.5,84136.9219,75815.8828,78621.1172,78621.1172,70479259159,-0.065466
2026-02-01,BTC-USD,78626.125,79322.6094,75698.8984,76974.4453,76974.4453,53372509744,-0.020944
2026-02-02,BTC-USD,76968.875,79258.6094,74551.3359,78688.7656,78688.7656,75140589684,0.022271
2026-02-03,BTC-USD,78693.5078,79118.8516,72897.1406,75633.5469,75633.5469,68249110822,-0.038827
2026-02-04,BTC-USD,75640.0938,76864.6562,71779.9297,73019.7031,73019.7031,67215363944,-0.034559
2026-02-05,BTC-USD,73016.375,73161.5547,62353.5352,62702.0977,62702.0977,125509410908,-0.141299
2026-02-06,BTC-USD,62704.4531,71681.3047,60074.2031,70555.3906,70555.3906,114674259489,0.125248
2026-02-07,BTC-USD,70553.7969,71611.1484,67364.4453,69281.9688,69281.9688,62347107663,-0.018049
2026-02-08,BTC-USD,69283.7266,72206.9062,68852.8984,70264.7266,70264.7266,39721722619,0.014185
2026-02-09,BTC-USD,70243.3281,71369.9688,68291.0312,70120.7812,70120.7812,52081598792,-0.002049
2026-02-10,BTC-USD,70137.3906,70464.2656,67913.0938,68793.9609,68793.9609,40593063077,-0.018922
2026-02-11,BTC-USD,68791.8594,69242.6797,65757.3047,66991.9688,66991.9688,49671946030,-0.026194
2026-02-12,BTC-USD,66992.1953,68339.4922,65092.1094,66221.8438,66221.8438,44651071271,-0.011496
2026-02-13,BTC-USD,66213.375,69382.8359,65835.7812,68857.8438,68857.8438,40820775886,0.039806
2026-02-14,BTC-USD,68856.9844,70481.1641,68706.6172,69767.625,69767.625,36012397645,0.013212
2026-02-15,BTC-USD,69764.9531,70939.2891,68052.5469,68788.1875,68788.1875,40191152750,-0.014039
2026-02-16,BTC-USD,68782.3984,70067.2344,67301.5859,68843.1562,68843.1562,33618145426,0.000799
2026-02-17,BTC-USD,68843.0938,69201.8672,66615.2812,67494.2188,67494.2188,34866936040,-0.019594
